PSTART 13-05-2021 14:18:40 01 PSTOP;43
PSTART 13-05-2021 14:18:40 02 PSTOP;43
PSTART 13-05-2021 14:18:40 03 PSTOP;36
PSTART 13-05-2021 14:18:40 04 PSTOP;42
PSTART 13-05-2021 14:18:40 05 PSTOP;45
PSTART 13-05-2021 14:18:40 06 PSTOP;35
PSTART 13-05-2021 14:18:41 07 PSTOP;46
PSTART 13-05-2021 14:18:41 08 PSTOP;43
PSTART 13-05-2021 14:18:41 09 PSTOP;36
PSTART 13-05-2021 14:18:41 10 PSTOP;44
PSTART 13-05-2021 14:18:41 11 PSTOP;44
PSTART 13-05-2021 14:18:41 12 PSTOP;35
PSTART 13-05-2021 14:18:41 13 PSTOP;42
PSTART 13-05-2021 14:18:41 14 PSTOP;43
PSTART 13-05-2021 14:18:41 15 PSTOP;37
PSTART 13-05-2021 14:18:41 16 PSTOP;40
PSTART 13-05-2021 14:18:41 17 PSTOP;42
PSTART 13-05-2021 14:18:41 18 PSTOP;41
PSTART 13-05-2021 14:18:41 19 PSTOP;35
PSTART 13-05-2021 14:18:41 20 PSTOP;46
PSTART 13-05-2021 14:18:41 21 PSTOP;41
PSTART 13-05-2021 14:18:41 22 PSTOP;35
PSTART 13-05-2021 14:18:41 23 PSTOP;45
PSTART 13-05-2021 14:18:41 24 PSTOP;44
PSTART 13-05-2021 14:18:41 25 PSTOP;37
PSTART 13-05-2021 14:18:41 26 PSTOP;41
PSTART 13-05-2021 14:18:41 27 PSTOP;42
PSTART 13-05-2021 14:18:41 28 PSTOP;35
PSTART 13-05-2021 14:18:41 29 PSTOP;42
PSTART 13-05-2021 14:18:41 30 PSTOP;42
PSTART 13-05-2021 14:18:41 31 PSTOP;36
PSTART 13-05-2021 14:18:42 32 PSTOP;43
PSTART 13-05-2021 14:18:42 33 PSTOP;44
PSTART 13-05-2021 14:18:42 34 PSTOP;36
PSTART 13-05-2021 14:18:42 35 PSTOP;34
PSTART 13-05-2021 14:18:42 36 PSTOP;44
PSTART 13-05-2021 14:18:42 37 PSTOP;45
PSTART 13-05-2021 14:18:42 38 PSTOP;34
PSTART 13-05-2021 14:18:42 39 PSTOP;45
PSTART 13-05-2021 14:18:42 40 PSTOP;41
PSTART 13-05-2021 14:18:42 41 PSTOP;35
PSTART 13-05-2021 14:18:42 42 PSTOP;44
PSTART 13-05-2021 14:18:42 43 PSTOP;42
PSTART 13-05-2021 14:18:42 44 PSTOP;36
PSTART 13-05-2021 14:18:42 45 PSTOP;44
PSTART 13-05-2021 14:18:42 46 PSTOP;44
PSTART 13-05-2021 14:18:42 47 PSTOP;35
PSTART 13-05-2021 14:18:42 48 PSTOP;43
PSTART 13-05-2021 14:18:42 49 PSTOP;46
PSTART 13-05-2021 14:18:42 50 PSTOP;35
PSTART 13-05-2021 14:18:42 51 PSTOP;44
PSTART 13-05-2021 14:18:42 52 PSTOP;42
PSTART 13-05-2021 14:18:42 53 PSTOP;43
PSTART 13-05-2021 14:18:42 54 PSTOP;35
PSTART 13-05-2021 14:18:42 55 PSTOP;46
PSTART 13-05-2021 14:18:43 56 PSTOP;42
PSTART 13-05-2021 14:18:43 57 PSTOP;35
PSTART 13-05-2021 14:18:43 58 PSTOP;45
PSTART 13-05-2021 14:18:43 59 PSTOP;42
PSTART 13-05-2021 14:18:43 60 PSTOP;36
PSTART 13-05-2021 14:18:43 61 PSTOP;45
PSTART 13-05-2021 14:18:43 62 PSTOP;41
PSTART 13-05-2021 14:18:43 63 PSTOP;36
PSTART 13-05-2021 14:18:43 64 PSTOP;39
PSTART 13-05-2021 14:18:43 65 PSTOP;41
PSTART 13-05-2021 14:18:43 66 PSTOP;36
PSTART 13-05-2021 14:18:43 67 PSTOP;42
PSTART 13-05-2021 14:18:43 68 PSTOP;41
PSTART 13-05-2021 14:18:43 69 PSTOP;43
PSTART 13-05-2021 14:18:43 70 PSTOP;37
PSTART 13-05-2021 14:18:43 71 PSTOP;43
PSTART 13-05-2021 14:18:43 72 PSTOP;40
PSTART 13-05-2021 14:18:43 73 PSTOP;35
PSTART 13-05-2021 14:18:43 74 PSTOP;44
PSTART 13-05-2021 14:18:43 75 PSTOP;43
PSTART 13-05-2021 14:18:43 76 PSTOP;34
PSTART 13-05-2021 14:18:43 77 PSTOP;41
PSTART 13-05-2021 14:18:43 78 PSTOP;41
PSTART 13-05-2021 14:18:43 79 PSTOP;36
PSTART 13-05-2021 14:18:43 80 PSTOP;45
PSTART 13-05-2021 14:18:44 81 PSTOP;40
PSTART 13-05-2021 14:18:44 82 PSTOP;38
PSTART 13-05-2021 14:18:44 83 PSTOP;42
PSTART 13-05-2021 14:18:44 84 PSTOP;43
PSTART 13-05-2021 14:18:44 85 PSTOP;34
PSTART 13-05-2021 14:18:44 86 PSTOP;37
PSTART 13-05-2021 14:18:44 87 PSTOP;46
PSTART 13-05-2021 14:18:44 88 PSTOP;41
PSTART 13-05-2021 14:18:44 89 PSTOP;36
PSTART 13-05-2021 14:18:44 90 PSTOP;41
PSTART 13-05-2021 14:18:44 91 PSTOP;41
PSTART 13-05-2021 14:18:44 92 PSTOP;35
PSTART 13-05-2021 14:18:44 93 PSTOP;43
PSTART 13-05-2021 14:18:44 94 PSTOP;41
PSTART 13-05-2021 14:18:44 95 PSTOP;34
PSTART 13-05-2021 14:18:44 96 PSTOP;42
